go	va
not many survive this disease	peu survivent a cette maladie
now what was your name again	voyons quel etait votre nom deja
ok let s assume you re right	d accord supposons que tu aies raison
ok let s assume you re right	d accord supposons que vous ayez raison
one in ten people have myopia	une personne sur dix est myope
one is never too old to learn	personne n est trop vieux pour apprendre
one is never too old to learn	on est jamais trop vieux pour apprendre
one of the windows was broken	l une des fenetres etait cassee
one of the windows was broken	l une des vitres etait brisee
one of them is probably lying	l un d eux ment probablement
one of them is probably lying	l une d elles ment probablement
our bus collided with a truck	notre bus a percute un camion
our former home was in sweden	notre precedente maison etait en suede
our teacher likes his new car	notre professeur aime sa nouvelle voiture
pencils are sold by the dozen	les crayons se vendent par douzaines
people don t say that anymore	les gens ne disent plus cela
people have to obey the rules	les gens doivent obeir aux regles
plastic does not break easily	le plastique c est solide
please bring it back tomorrow	merci de le ramener demain
please bring me a clean knife	veuillez m apporter un couteau propre
please change the punctuation	veuillez changer la ponctuation
please close the door quietly	veuillez fermer la porte doucement
please help me take this down	veuillez m aider a descendre ceci
please read between the lines	veuillez lire entre les lignes
please understand my position	veuillez comprendre ma position
prices will continue to go up	le prix va continuer d augmenter
put the desk against the wall	mettez le bureau contre le mur
she admits knowing the secret	elle admet connaitre le secret
she always keeps her promises	elle tient toujours ses promesses
she asked him if he was happy	elle lui demanda s il etait heureux
she can count from one to ten	elle sait compter de un a dix
she can hardly speak japanese	elle parle a peine japonais
she can speak three languages	elle sait parler trois langues
she crouched down by the gate	elle s accroupit pres du portail
she didn t pay back the money	elle n a pas rendu l argent
she endured to the bitter end	elle a encaisse jusqu au bout
she gave him a piece of paper	elle lui donna un morceau de papier
she gave in to the temptation	elle a cede a la tentation
she gave me a wonderful smile	elle me lanca un merveilleux sourire
she has a daughter named mary	elle a une fille prenommee marie
she has a new man in her life	elle a un nouvel homme dans sa vie
she has always lived in otaru	elle a toujours vecu a otaru
she held her baby in her arms	elle tenait son bebe dans les bras
she hired him as a programmer	elle l a embauche comme programmeur
she laid herself on the grass	elle s allongea sur l herbe
she likes jazz and i do too	elle aime le jazz et moi aussi
she likes talking best of all	discuter est ce qu elle prefere
she looked at him with hatred	elle l a regarde avec haine
she looked at me in amusement	elle m a regarde avec amusement
she lost interest in her work	elle perdit interet a son travail
she met the man of her dreams	elle rencontra l homme de ses reves
she must care for the old man	elle doit s occuper du vieil homme
she patted me on the shoulder	elle me frappa sur l epaule
she plays the piano very well	elle joue tres bien du piano
she pointed her finger at him	elle pointa le doigt sur lui
she pulled him out of the mud	elle l a extirpe de la boue
she pulled him out of the mud	elle l a extirpe de la fange
she pushed him out the window	elle le poussa par la fenetre
she puts aside a lot of money	elle met de cote beaucoup d argent
she revealed her secret to us	elle nous a revele son secret
she surprised him with a kiss	elle le surprit par un baiser
she takes care of my children	elle prend soin de mes enfants
she takes care of my children	elle s occupe de mes enfants
she told him that she was sad	elle lui dit qu elle etait triste
she told me that she loved me	elle me dit qu elle m aimait
she tore his letter to pieces	elle dechira en morceaux sa lettre
she traveled around the world	elle voyagea autour du monde
she waits tables for a living	elle gagne sa vie comme serveuse
she was absorbed in the video	elle etait plongee dans la video
she was appointed chairperson	elle fut nommee presidente
she was beautiful in her time	elle etait belle a son epoque
she was engrossed in her work	elle etait absorbee par son travail
she was sick in bed yesterday	elle etait clouee au lit hier
she went out to buy some food	elle est sortie acheter de la nourriture
she went to mexico by herself	elle est allee seule au mexique
she went to the hairdresser s	elle est allee chez le coiffeur
she writes to me once a month	elle m ecrit une fois par mois
she writes with her left hand	elle ecrit de la main gauche
she wrote novels in years	elle ecrivit romans en ans
show me your passport please	veuillez me montrer votre passeport
show me your passport please	passeport s il vous plait
show me your passport please	votre passeport je vous prie
singapore has one big problem	singapour a un grand probleme
smoking is a disgusting habit	fumer est une habitude degoutante
some people are still worried	quelques personnes sont toujours inquietes
some people have all the luck	certaines personnes ont toutes les chances
some words are hard to define	certains mots sont durs a definir
somebody is playing the piano	quelqu un joue du piano
stay and have a drink with us	restez et prenez un verre avec nous
stay and have a drink with us	reste et prends un verre avec nous
stop talking and listen to me	arrete de parler et ecoute moi
surely he ll phone me tonight	il me telephonera certainement ce soir
take as much time as you want	prends tout le temps que tu veux
take as much time as you want	prends autant de temps que tu veux
take as much time as you want	prenez autant de temps que vous voulez
take care not to catch a cold	fais attention de ne pas attraper froid
take care not to catch a cold	faites attention a ne pas attraper froid
take care not to catch a cold	prends garde de ne pas attraper froid
take care not to catch a cold	prenez garde de ne pas attraper froid
tell me about your daily life	parle moi de ta vie quotidienne
tell me about your daily life	parlez moi de votre vie quotidienne
tell me what that man is like	dites moi a quoi ressemble cet homme
tell me what we re doing here	dis moi ce que nous faisons ici
tell me what we re doing here	dites moi ce que nous faisons ici
that book is full of mistakes	ce livre est truffe d erreurs
that boy speaks like an adult	ce garcon parle comme un adulte
that bridge is very beautiful	ce pont est tres beau
that building must be on fire	ce batiment doit etre en feu
that does make me feel better	ca me fait me sentir mieux
that doesn t make sense to me	ca n a pour moi aucun sens
that dress is perfect for you	cette robe est parfaite pour vous
that experiment was a failure	cette experience etait un echec
that he loved her was certain	qu il l aimat etait certain
that house is built of bricks	cette maison est faite de briques
that museum is worth visiting	ce musee vaut la visite
that should be enough for you	cela devrait etre suffisant pour toi
that sounds like a great plan	ca semble etre un projet formidable
that was then and this is now	cela c etait avant et ceci maintenant
that was then and this is now	c etait avant et c est maintenant
that was then and this is now	c etait alors et c est maintenant
that wouldn t be a good thing	ca ne serait pas une bonne chose
that s a controversial theory	c est une theorie controversee
that s a good reason i guess	c est une bonne raison je suppose
that s a really good hospital	c est vraiment un bon hopital
that s a really good painting	c est vraiment un bon tableau
that s a very good suggestion	c est une tres bonne suggestion
that s how i would ve done it	c est ainsi que je l aurais fait
that s what i m talking about	c est de ca que je parle
that s what tom wants to know	c est ce que tom veut savoir
that s what s going to happen	c est ce qui va se produire
the airplane took off on time	l avion decolla a l heure
the argument ended in a fight	la discussion a tourne au pugilat
the basket was full of apples	le panier etait plein de pommes
the basket was full of apples	le panier etait rempli de pommes
the basket was full of apples	la corbeille etait remplie de pommes
the best hairdressers are gay	les meilleurs coiffeurs sont homos
the box is too heavy to carry	la boite est trop lourde a porter
the boy was sold into slavery	le garcon fut vendu en esclavage
the capital of japan is tokyo	la capitale du japon est tokyo
the cat seems extremely happy	le chat semble extremement heureux
the children went out to play	les enfants sont sortis pour jouer
the climate is moist and warm	le climat est chaud et humide
the clouds are getting darker	les nuages deviennent plus noirs
the desk is covered with dust	le bureau est recouvert de poussiere
the dictionary is on the desk	le dictionnaire est sur le bureau
the doctor examined my throat	le medecin examina ma gorge
the earth goes around the sun	la terre tourne autour du soleil
the examinations are all over	les examens sont completement termines
the exception proves the rule	l exception prouve la regle
the food isn t very good here	la nourriture n est pas bonne ici
the food was better in prison	la nourriture etait meilleure en prison
the girls are as busy as bees	les filles sont affairees comme des abeilles
the hostages will be released	les otages vont etre liberes
the hotel is run by his uncle	l hotel est gere par son oncle
the king always wears a crown	le roi porte toujours une couronne
the king oppressed his people	le roi oppressait son peuple
the letter was written by tom	la lettre fut ecrite par tom
the light is better over here	la lumiere est meilleure par ici
the matter is really pressing	la question est vraiment pressante
the money is at your disposal	l argent est a votre disposition
the next morning he was gone	le matin suivant il etait parti
the painting is deteriorating	le tableau se deteriore
the park is open to everybody	le parc est ouvert a tous
the patient s in the hospital	le patient est a l hopital
the police broke up the crowd	la police a disperse la foule
the possibilities are endless	les possibilites sont infinies
the price reflects the demand	le prix reflete la demande
the road is icy so take care	la route est verglacee alors fais attention
the room is covered with dust	la piece est couverte de poussiere
the shoes are made of leather	les chaussures sont faites en cuir
the shy boy murmured his name	le garcon timide murmura son nom
the snow melted away in a day	la neige a fondu en un jour
the soldier groaned with pain	le soldat gemissait de douleur
the summer here is quite warm	ici l ete est tres chaud
the sun shines during the day	le soleil brille durant le jour
the town was full of activity	la ville etait pleine d activite
the troops had plenty of arms	les troupes avaient plein d armes
the troops had plenty of arms	les troupes avaient beaucoup d armes
the troops had plenty of arms	les troupes avaient beaucoup de bras
the typhoon gathered strength	le typon se renforca
the vase was broken to pieces	le vase etait brise en morceaux
the war had lasted four years	la guerre a dure quatre ans
the war is going in our favor	la guerre se deroule en notre faveur
the water flooded the streets	l eau inonda les rues
the weather is terrible today	il fait degueulasse aujourd hui
the word has several meanings	le mot a plusieurs significations
the work is actually finished	le travail est effectivement acheve
there is an apple on the desk	une pomme se trouve sur le bureau
there s nothing more i can do	je ne peux rien faire de plus
there s so much more to learn	il y a tant a apprendre encore
these containers are airtight	ces conteneurs sont hermetiques
these containers are airtight	ces recipients sont hermetiques
these paintings are beautiful	ces tableaux sont beaux
these politicians are corrupt	ces politiciens sont corrompus
these politicians are corrupt	ces politiciennes sont corrompues
they acted on the information	ils agirent selon l information
they all laughed at his error	tous ont ri a son erreur
they all laughed at his error	toutes ont ri a son erreur
they belong to the chess club	ils appartiennent au club d echecs
they burned all the documents	ils brulerent tous les documents
they don t get along together	ils ne s entendent pas ensemble
they fear that he may be dead	ils craignent qu il ne soit mort
they kept their love a secret	ils ont garde leur amour secret
they named the baby momotarou	ils appelerent le bebe momotarou
they say that he is very rich	ils disent qu il est tres riche
they showed it to our company	ils le montrerent a nos convives
they showed it to our company	elles le montrerent a nos convives
they started at the same time	ils ont commence en meme temps
they waited for him for hours	ils attendirent des heures apres lui
they wanted me out of the way	ils voulaient me mettre a l ecart
they were free at that moment	ils etaient libres a ce moment
they were watching television	ils regardaient la television
they will hold talks tomorrow	ils auront des discussions demain
they will hold talks tomorrow	elles auront des discussions demain
they will hold talks tomorrow	ils auront des pourparlers demain
they will hold talks tomorrow	elles auront des pourparlers demain
they worked through the night	elles travaillerent toute la nuit
they worked through the night	ils travaillerent toute la nuit
they ll never know we re here	elles ne sauront que nous sommes la
this book is full of mistakes	ce livre est plein de fautes
this box contains five apples	cette boite contient cinq pommes
this box is made of cardboard	cette boite est faite de carton
this box is made of cardboard	cette caisse est faite de carton
this bridge is built of stone	ce pont est fait de pierres
this candy costs eighty cents	cette sucrerie coute huitante centimes
this car is used by my father	cette voiture est utilisee par mon pere
this chimney is made of brick	cette cheminee est faite de briques
this doesn t look good at all	ca ne me dit rien qui vaille
this is a difficult situation	c est une situation difficile
this is a little gift for you	c est un petit cadeau pour vous
this is a recipe for disaster	c est la recette du desastre
this is a stressful situation	c est une situation stressante
this is an opera in five acts	c est un opera en cinq actes
this is an option to consider	c est une possibilite a envisager
this is not going to end well	ca ne va pas bien se terminer
this is worth one million yen	ceci vaut un million de yen
this key won t go in the lock	cette clef ne rentre pas dans la serrure
this knife has served me well	ce couteau m a beaucoup servi
this movie is for adults only	ce film est seulement pour adultes
this place isn t safe anymore	cet endroit n est plus sur
this problem is hard to solve	ce probleme est difficile a resoudre
this product is well designed	ce produit est bien concu
this room is too small for us	cet espace est trop reduit pour nous
this room is too small for us	cette piece est trop petite pour nous
this stays between you and me	ceci reste entre toi et moi
this stays between you and me	ceci reste entre vous et moi
this story is too predictable	cette histoire est trop previsible
this summer is incredibly hot	cet ete est incroyablement chaud
this tree does not bear fruit	cet arbre ne porte de fruits
this was a premeditated crime	c etait un crime premedite
this word has three syllables	ce mot a trois syllabes
this work is difficult for us	ce travail est difficile pour nous
those colors go well together	ces couleurs vont bien ensemble
to my surprise she was alive	a ma surprise elle etait vivante
tokyo is the capital of japan	tokyo est la capitale du japon
tom and mary decided to leave	tom et marie deciderent de partir
tom and mary decided to leave	tom et mary deciderent de partir
tom and mary grew up together	tom et marie ont grandi ensemble
tom can speak three languages	tom peut parler trois langues
tom certainly enjoys his wine	tom apprecie certainement son vin
tom continued to talk to mary	tom continua a parler a marie
tom didn t have anything else	tom n avait rien d autre
tom died from a drug overdose	tom est mort d une overdose
tom doesn t even know my name	tom ne connait meme pas mon nom
tom doesn t even like driving	tom n aime meme pas conduire
tom doesn t have a tv at home	tom n a pas de televiseur chez lui
tom doesn t like living alone	tom n aime pas vivre seul
tom dozed off in french class	tom somnola en cours de francais
tom followed me to the garage	tom m a suivi au garage
tom followed me to the garage	tom m a suivie au garage
tom found a job as a mechanic	tom a trouve un emploi comme mecanicien
tom found a job as a mechanic	tom a trouve un travail de mecanicien
tom found no one in the house	tom ne trouva personne dans la maison
tom greeted mary with a smile	tom salua mary avec un sourire
tom has a dynamic personality	tom a une personnalite dynamique
tom has a heavy german accent	tom a un fort accent allemand
tom has already fallen asleep	tom s est deja endormi
tom has already gone to sleep	tom est deja alle au lit
tom has been very cooperative	tom a ete tres cooperatif
tom has denied the allegation	tom a nie l allegation
tom has something in his hand	tom a quelque chose en main
tom has three sons i believe	tom a trois fils je crois
tom has to do that right away	tom doit le faire tout de suite
tom has to pay his rent today	tom doit payer son loyer aujourd hui
tom has written several books	tom a ecrit plusieurs livres
tom hasn t eaten anything yet	tom n a encore rien mange
tom is a very creative person	tom est une personne tres creative
tom is always very aggressive	tom est toujours tres agressif
tom is an electrical engineer	tom est ingenieur en electricite
tom is an experienced teacher	tom est un professeur experimente
tom is better than me at math	tom est meilleur que moi en math
tom is constantly complaining	tom se plaint constamment
tom is much smarter than i am	tom est beaucoup plus intelligent que moi
tom is now very angry with me	tom est desormais tres fache contre moi
tom is trying to get it right	tom essaie de faire les choses correctement
tom is trying to learn french	tom essaie d apprendre le francais
tom isn t feeling at all well	tom ne se sent vraiment pas bien
tom kept his illness a secret	tom a garde sa maladie secrete
tom knew he was being watched	tom savait qu on le surveillait
tom knows what the problem is	tom sait quel est le probleme
tom lives and works in boston	tom vit et travaille a boston
tom lives and works in boston	tom habite et travaille a boston
tom looked at it more closely	tom le regarda de plus pres
tom looked at it suspiciously	tom le regarda avec mefiance
tom loves watching mary dance	tom aime regarder mary danser
tom often contradicts himself	tom se contredit souvent
tom sang better than mary did	tom a mieux chante que mary
tom sang better than mary did	tom a mieux chante que marie
tom saw mary break the window	tom vit mary casser la fenetre
tom spoke into the microphone	tom parla dans le microphone
tom talked to a lot of people	tom a parle a beaucoup de monde
tom talked to a lot of people	tom a parle a beaucoup de gens
tom took a lot of photographs	tom a pris beaucoup de photos
tom turned off his headlights	tom a eteint ses phares
tom walked towards the stairs	tom marcha vers les escaliers
tom wanted to make more money	tom voulait gagner plus d argent
tom wanted to see mary s room	tom voulait voir la chambre de mary
tom wants to apologize to you	tom veut s excuser envers toi
tom was a very tough opponent	tom etait un adversaire tres coriace
tom was convinced but not me	tom etait convaincu mais moi pas
tom was the life of the party	tom etait le roi de la fete
tom went back into his office	tom est retourne dans son bureau
tom went down to the basement	tom est descendu au sous sol
tom went to boston for a week	tom a passe une semaine a boston
tom would help us if he could	tom nous aiderait s il le pouvait
tom s new wife s name is mary	la nouvelle femme de tom s appelle mary
translate the underlined part	traduis la partie soulignee
try and do it right this time	essaie et fais le correctement cette fois
two heads are better than one	deux tetes valent mieux qu une
was i not supposed to eat yet	etais je suppose ne pas encore manger
was i not supposed to eat yet	etais je supposee ne pas encore manger
we admire her for her bravery	nous l admirons pour son courage
we could all be dead tomorrow	nous pourrions tous etre morts demain
we could all be dead tomorrow	nous pourrions toutes etre mortes demain
we don t have a second choice	nous n avons pas d autre choix
we don t have the same values	nous n avons pas les memes valeurs
we had nice weather yesterday	hier la meteo etait clemente
we have achieved all our aims	nous avons atteint tous nos objectifs
we have made friends with tom	nous sommes devenus amis avec tom
we have to be at work by nine	nous devons etre au travail pour neuf heures
we know all this already tom	nous savons deja tout ceci tom
we must cut down our expenses	nous devons trancher dans nos depenses
we need our demands to be met	il faut que nos exigences soient respectees
we really don t have a choice	nous n avons vraiment pas le choix
we should be better than this	nous devrions etre meilleurs que ceci
we should have gotten married	nous aurions du nous marier
we should respect our parents	nous devrions respecter nos parents
we should take a coffee break	nous devrions faire une pause cafe
we still don t know the truth	nous ne savons toujours pas la verite
we still have more work to do	il nous reste du travail a faire
we still have some work to do	il nous faut encore fournir du travail
we still have some work to do	il nous reste du travail a faire
we thought he was an american	nous pensions qu il etait etasunien
we usually sleep in this room	on dort habituellement dans cette chambre
we went on a really long walk	nous avons vraiment fait une longue promenade
we went swimming at the beach	nous allames nager a la plage
we went to the beach together	nous allames ensemble a la plage
we were actually pretty lucky	nous etions vraiment plutot chanceux
we were proud of our strength	nous etions fiers de notre force
we wish you a pleasant flight	nous vous souhaitons un vol agreable
we ll never get there in time	nous n y arriverons jamais a temps
we ve already seen this movie	nous avons deja vu ce film
wet clothes cling to the body	les vetements mouilles collent au corps
what are you doing these days	que fais tu ces temps ci
what are you doing these days	que faites vous ces temps ci
what day are you usually free	quel jour es tu libre habituellement
what did you do with my pants	qu avez vous fait de mon pantalon
what did you do with that car	qu as tu fait de cette voiture
what did you do with that car	qu avez vous fait de cette voiture
what did you expect to happen	qu esperais tu qu il advienne
what did you expect to happen	qu esperiez vous qu il advienne
what do you need a doctor for	pourquoi as tu besoin d un medecin
what do you need a doctor for	pourquoi avez vous besoin d un medecin
what have i done with my keys	qu ai je fait de mes cles 
what if something gets broken	et si quelque chose casse
what is the depth of the lake	quelle est la profondeur de ce lac
what is the name of that bird	quel est le nom de cet oiseau
what is the price of this cap	quel est le prix de cette casquette
what kind of meal did you eat	quelle sorte de repas as tu mange
what kind of meal did you eat	quelle sorte de repas avez vous mange
what should i do if tom calls	que devrais je faire si tom appelle
what should we do if it rains	que devrions nous faire s il pleut
what time does your class end	a quelle heure finit votre cours
what time does your class end	a quelle heure finit ton cours
what time is it by your watch	quelle heure est il sur ta montre
what time is it by your watch	quelle heure est il a ta montre
what time is it by your watch	quelle heure est il a votre montre
what s the weather like today	quel temps fait il aujourd hui
what s with all the questions	c est quoi toutes ces questions
when did you arrive in boston	t es arrive quand a boston
when did you arrive in boston	quand es tu arrive a boston
when did you arrive in boston	quand etes vous arrives a boston
when did you arrive in boston	quand es tu arrivee a boston
when did you arrive in boston	quand etes vous arrive a boston
when did you arrive in boston	quand etes vous arrivees a boston
when did you arrive in boston	quand etes vous arrivee a boston
when do you plan to check out	quand prevois tu de regler ta chambre
when do you plan to check out	quand prevoyez vous de regler votre chambre
where are the other prisoners	ou sont les autres prisonniers
where did you get on this bus	ou es tu monte dans ce bus
where did you get on this bus	ou etes vous monte dans ce bus
where did you get on this bus	ou es tu montee dans ce bus
where did you get on this bus	ou etes vous montee dans ce bus
where did you get on this bus	ou etes vous montees dans ce bus
where did you get on this bus	ou etes vous montes dans ce bus
where did you hear that story	ou as tu entendu cette histoire
where did you hear that story	ou avez vous entendu cette histoire
where did you put my umbrella	ou as tu mis mon parapluie
where did you put my umbrella	ou avez vous mis mon parapluie
where did you see those women	ou as tu vu ces femmes
where do we get the textbooks	comment fait on pour les manuels
where do you watch television	ou regardez vous la television
where does all this come from	d ou tout ceci provient il
where have you been up to now	ou as tu ete jusqu a present
where have you been up to now	ou avez vous ete jusqu a present
where should i put my baggage	ou devrais je mettre mes bagages
where should i put my laundry	ou devrais je mettre mon linge
where s the rest of the money	ou est le reste de l argent
which doctor is attending you	quel est ton medecin traitant
which group is your friend in	a quel groupe appartient ton ami
who did you write a letter to	a qui as tu ecrit une lettre
who has eaten all the cookies	qui a mange tous les cookies
who is their homeroom teacher	qui est leur professeur principal
who is your favorite composer	quel est votre compositeur prefere
who taught you how to do this	qui t as appris a faire ca
why didn t they say something	pourquoi n ont ils rien dit
why do i have to go to school	pourquoi me faut il aller a l ecole
why do you not believe in god	pourquoi vous ne croyez pas en dieu
why do you not believe in god	pourquoi ne crois tu pas en dieu
why doesn t anyone believe me	pourquoi personne ne me croit il
why don t i have a girlfriend	pourquoi n ai je pas de nana
why don t we cancel the party	pourquoi n annulons nous pas la fete
why don t you drop her a line	pourquoi ne lui ecris tu pas un mot
why don t you drop her a line	pourquoi ne lui ecrivez vous pas un mot
why don t you give me a break	pourquoi ne m accordes tu pas une pause
why don t you give up smoking	pourquoi n arretes tu pas de fumer
why don t you give up smoking	pourquoi n arretez vous pas de fumer
why don t you leave him alone	pourquoi ne le laisses tu pas tranquille
why don t you leave him alone	pourquoi ne le laissez vous pas tranquille
why were you absent yesterday	pourquoi etiez vous absent hier
why were you absent yesterday	pourquoi etiez vous absents hier
why were you absent yesterday	pourquoi etiez vous absente hier
why were you absent yesterday	pourquoi etiez vous absentes hier
why were you absent yesterday	pourquoi etais tu absent hier
why were you absent yesterday	pourquoi etais tu absente hier
why were you holding his hand	pourquoi lui tenais tu la main
why were you holding his hand	pourquoi lui teniez vous la main
will you lend me your bicycle	peux tu me preter ton velo
will you lend me your bicycle	voulez vous me preter votre velo
will you switch seats with me	echangerez vous des places avec moi
would anyone like some coffee	quiconque aimerait il du cafe
would you do something for me	feriez vous quelque chose pour moi
would you do something for me	ferais tu quelque chose pour moi
you can get it at a bookstore	vous pouvez le trouver chez un libraire
you can t be thirty years old	tu ne peux pas avoir trente ans
you can t be thirty years old	vous ne pouvez pas avoir trente ans
you didn t have to wake me up	tu n avais pas besoin de me reveiller
you didn t have to wake me up	vous n aviez pas besoin de me reveiller
you don t even try to help me	tu n essaies meme pas de m aider
you don t know german do you	tu ne sais pas l allemand si
you don t seem very concerned	tu ne sembles pas tres concerne
you don t seem very concerned	tu ne sembles pas tres concernee
you don t seem very concerned	vous ne semblez pas tres concerne
you don t seem very concerned	vous ne semblez pas tres concernee
you don t seem very concerned	vous ne semblez pas tres concernes
you don t seem very concerned	vous ne semblez pas tres concernees
you don t seem very satisfied	tu ne sembles pas tres satisfait
you don t seem very satisfied	tu ne sembles pas tres satisfaite
you don t seem very satisfied	vous ne semblez pas tres satisfait
you don t seem very satisfied	vous ne semblez pas tres satisfaite
you don t seem very satisfied	vous ne semblez pas tres satisfaits
you don t seem very satisfied	vous ne semblez pas tres satisfaites
you had a week to finish this	tu avais une semaine pour finir ceci
you had a week to finish this	vous aviez une semaine pour finir ceci
you have a pretty good memory	tu as une assez bonne memoire
you have a pretty good memory	vous avez une assez bonne memoire
you have done a wonderful job	tu as realise un merveilleux travail
you have my attention already	tu as deja mon attention
you have my attention already	vous avez deja mon attention
you have to tell me the truth	il vous faut me dire la verite
you have to tell me the truth	il te faut me dire la verite
you look good in this picture	tu es beau sur cette photo
you may sit down on the chair	tu peux t asseoir sur la chaise
you must know tom pretty well	tu dois connaitre tom assez bien
you must know tom pretty well	vous devez connaitre tom assez bien
you must reboot your computer	vous devez redemarrer votre ordinateur
you must reboot your computer	tu dois redemarrer ton ordinateur
you must work hard to succeed	tu dois travailler dur pour reussir
you must work hard to succeed	on doit travailler dur pour reussir
you must work hard to succeed	vous devez travailler dur pour reussir
you need to find your own way	il te faut trouver ton propre chemin
you need to find your own way	il vous faut trouver votre propre chemin
you need to save the princess	il te faut sauver la princesse
you need to save the princess	il vous faut sauver la princesse
you need to sit down and rest	vous devez vous asseoir et vous reposer
you need to sit down and rest	tu dois t asseoir et te reposer
you probably just have a cold	vraisemblablement tu as juste un rhume
you should ask tom for advice	tu devrais demander conseil a tom
you should ask tom for advice	vous devriez demander conseil a tom
you should be more reasonable	tu devrais etre plus raisonnable
you should have visited kyoto	tu aurais du visiter kyoto
you should keep your promises	tu devrais tenir tes promesses
you should keep your promises	vous devriez tenir vos promesses
you should tell him the truth	tu devrais lui dire la verite
you should tell him the truth	vous devriez lui dire la verite
you should ve called the cops	vous auriez du appeler les flics
you should ve called the cops	tu aurais du appeler les flics
you used to smoke didn t you	tu fumais avant n est ce pas
you were just doing your duty	vous ne faisiez que votre devoir
you weren t serious were you	vous n etiez pas serieux si
you weren t serious were you	vous n etiez pas serieuses si
you weren t serious were you	vous n etiez pas serieuse si
you weren t serious were you	tu n etais pas serieux si
you weren t serious were you	tu n etais pas serieuse si
you will soon get to like him	tu te mettras bientot a l aimer
your behavior was inexcusable	ton comportement etait inexcusable
your demands are unreasonable	vos exigences sont deraisonnables
your demands are unreasonable	tes exigences sont deraisonnables
your new dress is very pretty	ta nouvelle robe est tres jolie
your objection has been noted	votre objection a ete notee
your story is hard to believe	ton histoire est difficile a croire
your story is hard to believe	votre histoire est difficile a croire
you ll see that i m right	tu verras bientot que j ai raison
a bad smell permeated the room	une mauvaise odeur infestait la piece
a catastrophe has been averted	une catastrophe a ete evitee
a dairy cow is a useful animal	la vache laitiere est un animal utile
a fallen tree blocked the path	un arbre abattu bloquait le chemin
a fish leaped out of the water	un poisson bondit hors de l eau
a man came to see me yesterday	un homme est venu me voir hier
a new dress was bought for her	on lui a achete une nouvelle robe
all good things come to an end	toutes les bonnes choses ont une fin
all our members are volunteers	tous nos membres sont volontaires
all the stones have been moved	toutes les pierres ont ete bougees
an elephant is a strong animal	un elephant est un animal puissant
an ice pack will numb the pain	un sac de glace engourdira la douleur
an ugly man knocked on my door	un homme laid frappa a ma porte
are you afraid of getting hurt	as tu peur d etre blessee
are you afraid of getting hurt	as tu peur d etre blesse
are you for or against my plan	es tu pour ou contre mon projet
are you for or against the war	es tu pour ou contre la guerre
are you happy with your weight	es tu satisfait de ton poids
are you happy with your weight	etes vous satisfait de votre poids
are you happy with your weight	es tu satisfaite de ton poids
are you happy with your weight	etes vous satisfaite de votre poids
are you listening to me at all	m ecoutes tu le moins du monde
are you prepared for the worst	es tu pret pour le pire
are you through with the paper	as tu fini avec le papier
are you through with the paper	avez vous fini avec le papier
as far as i know he is honest	pour autant que je sache il est honnete
at last he realized his error	finalement il a realise son erreur
at last he solved the problem	il a enfin resolu le probleme
at last they met face to face	ils se rencontrerent enfin face a face
be careful not to catch a cold	fais attention de ne pas attraper froid
beethoven was a great musician	beethoven etait un grand musicien
birds learn to fly by instinct	les oiseaux apprennent a voler instinctivement
both of my sisters are married	mes deux s urs sont mariees
can you cash this check for me	pouvez vous encaisser ce cheque pour moi
can you give me a better price	pouvez vous me faire un meilleur prix
can t you guess what i m doing	tu ne devines pas ce que je fais
choose either one or the other	choisis l un ou l autre
come down here and eat with us	descends ici et viens manger avec nous
come down here and eat with us	descendez ici et venez manger avec nous
could you charge it to my room	pourriez vous le mettre sur ma chambre
could you move the chair a bit	pourrais tu bouger un peu la chaise
could you move the chair a bit	pourriez vous bouger un peu la chaise
could you open this jar for me	peux tu ouvrir ce pot pour moi
could you show me that necktie	pourriez vous me montrer cette cravate
could you tie it with a ribbon	pourrais tu l attacher avec un ruban
count the apples in the basket	compte les pommes dans le panier
dark clouds are a sign of rain	les nuages sombres sont signe de pluie
deposit your money in the bank	depose ton argent a la banque
did i give you that impression	vous ai je donne cette impression
did i give you that impression	t ai je donne cette impression
did tom talk to you about mary	tom vous a il parle de mary
did you acknowledge his letter	avez vous reconnu sa lettre
did you encounter any problems	as tu eu des problemes
do not say such foolish things	ne dis pas de telles idioties
do not say such foolish things	ne dites pas de telles idioties
do not say such foolish things	ne dites pas de telles inepties
do not say such foolish things	ne dis pas de telles inepties
do whatever you think is right	faites ce qui vous parait juste
do you believe tom is innocent	crois tu que tom soit innocent
do you believe tom is innocent	croyez vous que tom soit innocent
do you eat it in the classroom	manges tu dans la salle de classe
do you have any aspirin on you	as tu de l aspirine avec toi
do you have any aspirin on you	avez vous de l aspirine avec vous
do you have any food allergies	as tu une quelconque allergie alimentaire
do you have any food allergies	avez vous une quelconque allergie alimentaire
do you have any money with you	avez vous le moindre argent sur vous
do you have children s clothes	auriez vous des vetements pour enfants
do you know why she s so angry	sais tu pourquoi elle est tellement en colere
do you know why she s so angry	savez vous pourquoi elle est tellement en colere
do you like to be kept waiting	aimes tu qu on te fasse attendre
do you like to be kept waiting	aimez vous qu on vous fasse attendre
do you offer any all day tours	proposez vous des excursions d une journee
do you think anyone can see me	penses tu que quiconque puisse me voir
do you think anyone can see me	pensez vous que quiconque puisse me voir
do you think anyone can see us	penses tu que quiconque puisse nous voir
do you think anyone can see us	pensez vous que quiconque puisse nous voir
do you think our team will win	pensez vous que notre equipe va gagner
